pressure,temperature,salinity,latitude,longitude,time,float_id
284.0,11.705454,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
286.0,11.670184,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
288.0,11.653433,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
290.0,11.628763,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
292.0,11.578584,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
294.0,11.555198,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
296.0,11.543779,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
298.0,11.525117,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
300.0,11.521108,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
302.0,11.5225725,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
304.0,11.515904,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
306.0,11.502457,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
308.0,11.473726,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
310.0,11.446941,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
312.0,11.438094,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
314.0,11.430557,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
316.0,11.41883,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
318.0,11.405801,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
320.0,11.396541,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
322.0,11.382442,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
324.0,11.369272,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
326.0,11.363782,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
328.0,11.35411,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
330.0,11.330017,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
332.0,11.300304,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
334.0,11.274368,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
336.0,11.248986,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
338.0,11.22079,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
340.0,11.199838,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
342.0,11.175154,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
